MODEL,COLOUR,HARDIKA OPEING STOCK,PURCHASE,SALE RETURN,01-Mar,02-Mar,03-Mar,04-Mar,05-Mar,06-Mar,07-Mar,08-Mar,09-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,TOTAL SALE ,STOCK IN TRNSCTION,CLSOING STOCK,SCAN STOCK,,,
OPPO A16 (4+64GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A16 (4+64GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A16 (4+64GB),GOLD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A16K & E (3+32GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,4,,,
OPPO A16K & E (3+32GB),WHITE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,
OPPO A16K & E (4+64GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,
OPPO A16K & E (4+64GB),BLUE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A16K & E (4+64GB),WHITE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,
OPPO A15s (4+128GB),WHITE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,
OPPO A17K (3+64GB),BLUE,25,55,,3,2,4,2,,7,4,,,12,5,,,,,,,,,,,,,,,,,,,,,39,,41,,,,
OPPO A17K (3+64GB),GOLD,35,20,,4,1,4,,,2,3,,,17,1,,,,,,,,,,,,,,,,,,,,,32,20,43,,,,
OPPO A17K (3+64GB),NAVY BLUE,24,30,,,4,5,2,,6,1,,,14,1,,,,,,,,,,,,,,,,,,,,,33,,21,2,,,
OPPO A17 (4+64GB),BLACK,48,,,12,2,7,4,,7,3,,,13,,,,,,,,,,,,,,,,,,,,,,48,,0,4,,,
OPPO A17 (4+64GB),BLUE,52,86,,4,5,13,8,,12,13,,,18,8,,,,,,,,,,,,,,,,,,,,,81,,57,2,,,
OPPO A17 (4+64GB),ORANGE,52,56,,3,3,8,5,,9,3,,,8,6,,,,,,,,,,,,,,,,,,,,,45,,63,2,,,
OPPO A55 (4+128GB),BLACK,28,28,,2,2,4,8,,2,2,,1,9,1,,,,,,,,,,,,,,,,,,,,,31,3,28,,,,
OPPO A55 (4+128GB),BLUE,33,8,,2,2,2,1,,2,1,,2,16,,,,,,,,,,,,,,,,,,,,,,28,,13,,,,
OPPO A55 (4+128GB),GREEN,10,45,,,2,4,1,,4,1,,1,13,2,,,,,,,,,,,,,,,,,,,,,28,5,32,,,,
OPPO A55 (4+64GB),BLACK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,
