IMEI 1,Product Model,Color,Distributor
860035065222635,OPPO A16K & E (4+64GB),Blue,Royal mobile house and electronics ! GREATER NOIDA
860109060987375,OPPO A17K (3+64GB),Navy Blue,Tanish Telecom(Surajpur) ! GREATER NOIDA
860109061062392,OPPO A17K (3+64GB),Navy Blue,I Store ! GREATER NOIDA
860109061066930,OPPO A17K (3+64GB),Navy Blue,DEV ENTERPRISES. ! GREATER NOIDA
860109061067557,OPPO A17K (3+64GB),Navy Blue,DEV ENTERPRISES. ! GREATER NOIDA
860109062171010,OPPO A17K (3+64GB),Gold,AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
860109062185218,OPPO A17K (3+64GB),Navy Blue,Rajdeep Mobile Point ! GREATER NOIDA
860109062300932,OPPO A17K (3+64GB),Navy Blue,Rajdeep Mobile Point ! GREATER NOIDA
860109062397078,OPPO A17K (3+64GB),Gold,KASHISH COMMUNICATION ! GREATER NOIDA
860109063626152,OPPO A17K (3+64GB),Gold,Balaji Traders/Greater Noida ! GREATER NOIDA
860109063778573,OPPO A17K (3+64GB),Gold,L K MOBILE POINT ! GREATER NOIDA
860109063778771,OPPO A17K (3+64GB),Gold,Anuska mobile center 2 ! GREATER NOIDA
860109063779092,OPPO A17K (3+64GB),Gold,R K TELECOM (TUGALPUR) ! GREATER NOIDA
860109063779530,OPPO A17K (3+64GB),Gold,Noble Mobile Shope ! GREATER NOIDA
860109063780496,OPPO A17K (3+64GB),Gold,KGAD MOBIWORLD ! GREATER NOIDA
860109063782997,OPPO A17K (3+64GB),Gold,AMAN MOBILE STORE ! GREATER NOIDA
860109063783672,OPPO A17K (3+64GB),Gold,MAHALAXMI MOBILE POINT ! GREATER NOIDA
860109063785552,OPPO A17K (3+64GB),Gold,KGAD MOBIWORLD ! GREATER NOIDA
860109064830134,OPPO A17K (3+64GB),Navy Blue,AMAN MOBILE STORE ! GREATER NOIDA
860109064925314,OPPO A17K (3+64GB),Navy Blue,Shyam Lal & Sons ! GREATER NOIDA
860109065371732,OPPO A17K (3+64GB),Gold,Noble Mobile Shope ! GREATER NOIDA
860109065373191,OPPO A17K (3+64GB),Gold,Noble Mobile Shope ! GREATER NOIDA
860109065373639,OPPO A17K (3+64GB),Gold,SHREE BABA COMMUNICATION (KASNA) ! GREATER NOIDA
860109065373738,OPPO A17K (3+64GB),Gold,SHREE BABA COMMUNICATION (KASNA) ! GREATER NOIDA
860109065373811,OPPO A17K (3+64GB),Gold,Prince Enterpirese ! GREATER NOIDA
860109065373951,OPPO A17K (3+64GB),Gold,Famous Mobile Point ! GREATER NOIDA
860109065502435,OPPO A17K (3+64GB),Gold,PRAVEEN MOBILE CENTER -2 ! GREATER NOIDA
860109065617696,OPPO A17K (3+64GB),Navy Blue,Famous Mobile Point ! GREATER NOIDA
860109065825414,OPPO A17K (3+64GB),Navy Blue,SONY ELECTRONICS (SURAJPUR) ! GREATER NOIDA
860109065829259,OPPO A17K (3+64GB),Navy Blue,PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA
860109065991992,OPPO A17K (3+64GB),Navy Blue,JAI AMBEY COMMUNICATION ENTERPRISES ! GREATER NOIDA
860109066005339,OPPO A17K (3+64GB),Navy Blue,JAI AMBEY COMMUNICATION ENTERPRISES ! GREATER NOIDA
860109066721992,OPPO A17K (3+64GB),Blue,Famous Mobile Point ! GREATER NOIDA
860109066722016,OPPO A17K (3+64GB),Blue,KGAD MOBIWORLD ! GREATER NOIDA
860109066723451,OPPO A17K (3+64GB),Blue,KGAD MOBIWORLD ! GREATER NOIDA
860109066724699,OPPO A17K (3+64GB),Blue,KGAD MOBIWORLD ! GREATER NOIDA
860109066951938,OPPO A17K (3+64GB),Gold,RANA ENTERPRISES ! GREATER NOIDA
860109067556314,OPPO A17K (3+64GB),Navy Blue,RANA ENTERPRISES ! GREATER NOIDA
860109068152899,OPPO A17K (3+64GB),Blue,SATNAM MOBILE STORE ! GREATER NOIDA
860109068212156,OPPO A17K (3+64GB),Gold,Shyam Lal & Sons ! GREATER NOIDA
860109068613254,OPPO A17K (3+64GB),Gold,GOEL MOBILE & SAMARTH ELECTRONICS ! GREATER NOIDA
860109068708914,OPPO A17K (3+64GB),Gold,Tanish Telecom(Surajpur) ! GREATER NOIDA
860109068770393,OPPO A17K (3+64GB),Blue,Jai Ambey Communication ! GREATER NOIDA
860109068770955,OPPO A17K (3+64GB),Blue,SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
860109068772498,OPPO A17K (3+64GB),Blue,AVNI MOBILE SHOP (AICHER) ! GREATER NOIDA
860109068943214,OPPO A17K (3+64GB),Gold,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
860109069115572,OPPO A17K (3+64GB),Gold,JAI AMBEY COMMUNICATION ENTERPRISES ! GREATER NOIDA
860109069516373,OPPO A17K (3+64GB),Gold,Shiv telecom ! GREATER NOIDA
860109069517470,OPPO A17K (3+64GB),Gold,SHREE BALAJI COMMUNICATION (SURAJPUR) ! GREATER NOIDA
860109069604252,OPPO A17K (3+64GB),Gold,Vikky Communication ! GREATER NOIDA
860150061710895,OPPO A17K (3+64GB),Blue,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
860150061902633,OPPO A17K (3+64GB),Blue,KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
860150061902674,OPPO A17K (3+64GB),Blue,Shyam Lal & Sons ! GREATER NOIDA
860150061924272,OPPO A17K (3+64GB),Blue,Anuska mobile center 2 ! GREATER NOIDA
860150062628914,OPPO A17K (3+64GB),Navy Blue,OM COMMUNICATION ! GREATER NOIDA
860150062630076,OPPO A17K (3+64GB),Navy Blue,Prince Enterpirese ! GREATER NOIDA
860150062630258,OPPO A17K (3+64GB),Navy Blue,Keshav Mobile Point(Sec-32) ! GREATER NOIDA
860150062630753,OPPO A17K (3+64GB),Navy Blue,KRISHNA TELECOM (GN) ! GREATER NOIDA
860150062631793,OPPO A17K (3+64GB),Navy Blue,KRISHNA TELECOM (GN) ! GREATER NOIDA
860150062794278,OPPO A17K (3+64GB),Navy Blue,M.R. COMMUNICATION (KASNA) ! GREATER NOIDA
860150062797339,OPPO A17K (3+64GB),Navy Blue,ATUL TELECOM CENTRE (KASNA) ! GREATER NOIDA
860150062862232,OPPO A17K (3+64GB),Navy Blue,MOBILE HOTSPOT ! GREATER NOIDA
860150062867074,OPPO A17K (3+64GB),Navy Blue,NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA
860150062906617,OPPO A17K (3+64GB),Navy Blue,A TO Z MOBILE ! GREATER NOIDA
860150062906633,OPPO A17K (3+64GB),Navy Blue,Anupam telecom ! GREATER NOIDA
860150062907219,OPPO A17K (3+64GB),Navy Blue,I Store ! GREATER NOIDA
860150062907359,OPPO A17K (3+64GB),Navy Blue,Anupam telecom ! GREATER NOIDA
860150062908258,OPPO A17K (3+64GB),Navy Blue,KANIKA COMMUNICATION (HABIBPUR) ! GREATER NOIDA
860150062908993,OPPO A17K (3+64GB),Navy Blue,I Store ! GREATER NOIDA
860150063233177,OPPO A17K (3+64GB),Blue,I Store ! GREATER NOIDA
860150063237137,OPPO A17K (3+64GB),Blue,Royal mobile house and electronics ! GREATER NOIDA
860150063289013,OPPO A17K (3+64GB),Blue,Computer Wizard ! GREATER NOIDA
860150063290813,OPPO A17K (3+64GB),Blue,Balaji Traders/Greater Noida ! GREATER NOIDA
860150063290979,OPPO A17K (3+64GB),Blue,JAI AMBEY COMMUNICATION ENTERPRISES ! GREATER NOIDA
