IMEI 1,Product Model,Color,Distributor,Verification Time
867443062818236,OPPO A77 (4+128GB),Sky Blue,PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA,2023-03-01 00:05:36
866194067230239,OPPO A78 5G (8+128GB),Glowing Blue,Jai Ambey Communication ! GREATER NOIDA,2023-03-01 05:20:52
862611060556314,OPPO A17 (4+64GB),Sunlight Orange,S.M TRADER (KASNA) ! GREATER NOIDA,2023-03-01 08:55:22
864904061306955,OPPO F21s Pro 5G (8+128GB),Starlight Black,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,2023-03-01 12:06:23
866194067340574,OPPO A78 5G (8+128GB),Glowing Black,Shyam Lal & Sons ! GREATER NOIDA,2023-03-01 12:07:27
866194067395511,OPPO A78 5G (8+128GB),Glowing Blue,Shyam Lal & Sons ! GREATER NOIDA,2023-03-01 12:08:17
867443062256072,OPPO A77 (4+128GB),Sky Blue,Noor Communication ! GREATER NOIDA,2023-03-01 12:36:36
867443061513614,OPPO A77 (4+128GB),Sunset Orange,SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA,2023-03-01 12:59:31
863461060589215,OPPO A77s (8+128GB),Starry Black,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-01 13:04:49
867426064654832,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,S.M TRADER (KASNA) ! GREATER NOIDA,2023-03-01 14:59:56
862611061203676,OPPO A17 (4+64GB),Lake Blue,S.M TRADER (KASNA) ! GREATER NOIDA,2023-03-01 14:59:56
864397064964393,OPPO A57 (4+64GB),Glowing Green,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-01 16:58:52
866194067983779,OPPO A78 5G (8+128GB),Glowing Black,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-01 17:50:51
866194067924278,OPPO A78 5G (8+128GB),Glowing Blue,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-01 17:51:12
867426064653834,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-01 17:51:25
863461060959335,OPPO A77s (8+128GB),Starry Black,PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA,2023-03-01 17:57:18
867443061513630,OPPO A77 (4+128GB),Sunset Orange,Noor Communication ! GREATER NOIDA,2023-03-01 18:49:56
860150064895396,OPPO A17K (3+64GB),Blue,Noor Communication ! GREATER NOIDA,2023-03-01 19:06:54
862611061957412,OPPO A17 (4+64GB),Lake Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-01 19:31:38
867443062882893,OPPO A77 (4+128GB),Sky Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-01 20:12:30
862498069783176,OPPO A17 (4+64GB),Midnight Black,Noor Communication ! GREATER NOIDA,2023-03-01 20:34:48
863461060590999,OPPO A77s (8+128GB),Starry Black,Jai Ambey Communication ! GREATER NOIDA,2023-03-01 20:39:55
864397061329814,OPPO A57 (4+64GB),Gold,V.K Mobile Point (HALDONI) ! GREATER NOIDA,2023-03-01 20:41:14
866194067924013,OPPO A78 5G (8+128GB),Glowing Blue,Balaji Traders/Greater Noida ! GREATER NOIDA,2023-03-01 20:41:32
866194067924179,OPPO A78 5G (8+128GB),Glowing Blue,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,2023-03-01 20:41:47
864397065405214,OPPO A57 (4+64GB),Gold,Jai Ambey Communication ! GREATER NOIDA,2023-03-01 20:42:10
862498068846438,OPPO A17 (4+64GB),Sunlight Orange,Royal mobile house and electronics ! GREATER NOIDA,2023-03-01 20:45:53
864397064464212,OPPO A57 (4+64GB),Glowing Black,Balaji Traders/Greater Noida ! GREATER NOIDA,2023-03-01 20:53:50
864397064266575,OPPO A57 (4+64GB),Gold,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-01 21:04:59
866194067983811,OPPO A78 5G (8+128GB),Glowing Black,KASHISH COMMUNICATION ! GREATER NOIDA,2023-03-01 21:28:20
862047064248477,OPPO A17 (4+64GB),Sunlight Orange,POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA,2023-03-01 21:37:35
866194067395214,OPPO A78 5G (8+128GB),Glowing Blue,POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA,2023-03-01 21:37:35
864397065197498,OPPO A57 (4+64GB),Gold,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-01 21:39:45
864397066467593,OPPO A57 (4+64GB),Glowing Green,KGAD MOBIWORLD ! GREATER NOIDA,2023-03-01 21:40:01
863581060264798,OPPO A57 (4+64GB),Glowing Green,Dev Communication (AICHER) ! GREATER NOIDA,2023-03-01 21:47:24
862611061227634,OPPO A17 (4+64GB),Lake Blue,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-01 22:29:26
864397065442431,OPPO A57 (4+64GB),Glowing Black,Noor Communication ! GREATER NOIDA,2023-03-01 22:30:35
863581066586996,OPPO A57 (4+64GB),Gold,Noor Communication ! GREATER NOIDA,2023-03-01 22:31:10
862888054617191,OPPO F21 Pro 5G (8+128GB),Rainbow Spectrum,Noble Mobile Shope ! GREATER NOIDA,2023-03-01 22:35:06
867426064402158,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,Noble Mobile Shope ! GREATER NOIDA,2023-03-01 22:35:45
866194067924252,OPPO A78 5G (8+128GB),Glowing Blue,Noble Mobile Shope ! GREATER NOIDA,2023-03-01 22:36:26
862498066858575,OPPO A17 (4+64GB),Midnight Black,Noble Mobile Shope ! GREATER NOIDA,2023-03-01 22:37:10
864397063304559,OPPO A57 (4+64GB),Glowing Green,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-01 23:17:56
862498061872613,OPPO A17 (4+64GB),Lake Blue,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-02 00:29:41
864397063957174,OPPO A57 (4+64GB),Gold,KASHISH COMMUNICATION ! GREATER NOIDA,2023-03-02 11:25:37
864904060213517,OPPO F21s Pro 5G (8+128GB),Dawnlight Gold,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-02 11:31:33
866102050096178,OPPO A55 (4+128GB),Starry Black,SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA,2023-03-02 12:36:37
864397064443018,OPPO A57 (4+64GB),Glowing Black,NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA,2023-03-02 13:08:52
866194067340319,OPPO A78 5G (8+128GB),Glowing Black,Noor Communication ! GREATER NOIDA,2023-03-02 14:24:46
866102052025217,OPPO A55 (4+128GB),Starry Black,Noor Communication ! GREATER NOIDA,2023-03-02 14:50:00
864463068372312,OPPO A77s (8+128GB),Sunset Orange,SHREE BALAJI MOBILE CENTER (KASNA) ! GREATER NOIDA,2023-03-02 15:11:56
864397065398997,OPPO A57 (4+64GB),Gold,Noor Communication ! GREATER NOIDA,2023-03-02 15:35:12
862047067621936,OPPO A17 (4+64GB),Lake Blue,Noor Communication ! GREATER NOIDA,2023-03-02 15:35:46
866102052827919,OPPO A55 (4+128GB),Starry Black,I Store ! GREATER NOIDA,2023-03-02 15:50:35
866194067229678,OPPO A78 5G (8+128GB),Glowing Blue,Computer Wizard ! GREATER NOIDA,2023-03-02 16:06:24
866194067963110,OPPO A78 5G (8+128GB),Glowing Black,Noor Communication ! GREATER NOIDA,2023-03-02 16:16:33
860150062215431,OPPO A17K (3+64GB),Blue,Shyam Lal & Sons ! GREATER NOIDA,2023-03-02 17:32:52
864397063332337,OPPO A57 (4+64GB),Gold,KRISHNA TELECOM (GN) ! GREATER NOIDA,2023-03-02 18:35:59
866768068799753,OPPO A77 (4+128GB),Sunset Orange,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-02 18:52:43
862498066185052,OPPO A17 (4+64GB),Lake Blue,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-02 18:53:52
862498069823774,OPPO A17 (4+64GB),Midnight Black,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-02 18:54:27
866875065371971,OPPO F21s Pro 5G (8+128GB),Dawnlight Gold,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-02 18:55:07
862611061988912,OPPO A17 (4+64GB),Midnight Black,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-02 19:25:02
864463068346993,OPPO A77s (8+128GB),Sunset Orange,VISHAL MOBILE HOUSE ! GREATER NOIDA,2023-03-02 19:32:00
862611063961339,OPPO A17 (4+64GB),Midnight Black,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-02 19:33:14
867443061513911,OPPO A77 (4+128GB),Sunset Orange,Noor Communication ! GREATER NOIDA,2023-03-02 19:39:00
864904060191473,OPPO F21s Pro 5G (8+128GB),Dawnlight Gold,Mobile World (noida) ! GREATER NOIDA,2023-03-02 19:44:47
867426064401937,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,KRISHNA TELECOM (GN) ! GREATER NOIDA,2023-03-02 19:59:20
866102050122958,OPPO A55 (4+128GB),Starry Black,SHIV SHAKTI ELECTRONICS ! GREATER NOIDA,2023-03-02 20:02:05
867443062255991,OPPO A77 (4+128GB),Sky Blue,POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA,2023-03-02 20:05:27
862611061214798,OPPO A17 (4+64GB),Lake Blue,BRS ELECTRONICS (KASNA) ! GREATER NOIDA,2023-03-02 20:22:06
866194067924336,OPPO A78 5G (8+128GB),Glowing Blue,SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA,2023-03-02 20:22:58
866102052049290,OPPO A55 (4+128GB),Starry Black,PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA,2023-03-02 20:47:49
864463068372015,OPPO A77s (8+128GB),Sunset Orange,PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA,2023-03-02 20:48:43
862611061953916,OPPO A17 (4+64GB),Lake Blue,S.M TRADER (KASNA) ! GREATER NOIDA,2023-03-02 20:55:23
867426064725012,OPPO Reno8 T 5G (8+128GB),Sunrise Gold,S.M TRADER (KASNA) ! GREATER NOIDA,2023-03-02 20:55:23
866194067924138,OPPO A78 5G (8+128GB),Glowing Blue,S.M TRADER (KASNA) ! GREATER NOIDA,2023-03-02 20:55:23
864463066072153,OPPO A77s (8+128GB),Sunset Orange,AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA,2023-03-02 21:07:16
861950056818358,OPPO F21 Pro (8+128GB),Sunset Orange,AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA,2023-03-02 21:07:57
864463068375638,OPPO A77s (8+128GB),Sunset Orange,S N COMMUNICATION (HALDONI) ! GREATER NOIDA,2023-03-02 21:10:15
867443062879659,OPPO A77 (4+128GB),Sky Blue,SHREE RAM MOBILE GALLERY ! GREATER NOIDA,2023-03-02 21:26:10
862498068067894,OPPO A17 (4+64GB),Midnight Black,Sanjay Communication(Sec-93) ! GREATER NOIDA,2023-03-02 21:26:49
863581067940978,OPPO A57 (4+64GB),Glowing Black,Royal mobile house and electronics ! GREATER NOIDA,2023-03-02 21:37:19
864397064266617,OPPO A57 (4+64GB),Gold,Royal mobile house and electronics ! GREATER NOIDA,2023-03-02 21:37:35
866194067229611,OPPO A78 5G (8+128GB),Glowing Blue,Royal mobile house and electronics ! GREATER NOIDA,2023-03-02 21:37:51
