IMEI 1,Product Model,Distributor
866194067230239,OPPO A78 5G (8+128GB),Jai Ambey Communication ! GREATER NOIDA
860150064164512,OPPO A17K (3+64GB),Hardika Enterprises Private Limited
860150063232831,OPPO A17K (3+64GB),TOMAR ELECTRONICS ! GREATER NOIDA
862611061203676,OPPO A17 (4+64GB),S.M TRADER (KASNA) ! GREATER NOIDA
862611062217196,OPPO A17 (4+64GB),TOMAR ELECTRONICS ! GREATER NOIDA
864397064266617,OPPO A57 (4+64GB),Royal mobile house and electronics ! GREATER NOIDA
867443062256072,OPPO A77 (4+128GB),Noor Communication ! GREATER NOIDA
863461060589215,OPPO A77s (8+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
864904061306955,OPPO F21s Pro 5G (8+128GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
863461060590999,OPPO A77s (8+128GB),Jai Ambey Communication ! GREATER NOIDA
867426064725053,OPPO Reno8 T 5G (8+128GB),Anupam telecom ! GREATER NOIDA
867426064654832,OPPO Reno8 T 5G (8+128GB),S.M TRADER (KASNA) ! GREATER NOIDA
866194067924310,OPPO A78 5G (8+128GB),Tanish Telecom(Surajpur) ! GREATER NOIDA
862047064248477,OPPO A17 (4+64GB),POOJA COMMUNICATION (G.NOIDA) ! GREATER NOIDA
862611060556314,OPPO A17 (4+64GB),S.M TRADER (KASNA) ! GREATER NOIDA
862498068837338,OPPO A17 (4+64GB),OM COMMUNICATION ! GREATER NOIDA
862498061872613,OPPO A17 (4+64GB),SHIV SHAKTI ELECTRONICS ! GREATER NOIDA
864397064629350,OPPO A57 (4+64GB),S.M TRADER (KASNA) ! GREATER NOIDA
862498068846438,OPPO A17 (4+64GB),Royal mobile house and electronics ! GREATER NOIDA
860150064895396,OPPO A17K (3+64GB),Noor Communication ! GREATER NOIDA
862498066858575,OPPO A17 (4+64GB),Noble Mobile Shope ! GREATER NOIDA
862498066185052,OPPO A17 (4+64GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
864397064964393,OPPO A57 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
862498069823774,OPPO A17 (4+64GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
862611060669638,OPPO A17 (4+64GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
864397065197498,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
864397066467593,OPPO A57 (4+64GB),KGAD MOBIWORLD ! GREATER NOIDA
867426064653834,OPPO Reno8 T 5G (8+128GB),KGAD MOBIWORLD ! GREATER NOIDA
866194067983779,OPPO A78 5G (8+128GB),KGAD MOBIWORLD ! GREATER NOIDA
866194067983811,OPPO A78 5G (8+128GB),KASHISH COMMUNICATION ! GREATER NOIDA
866194067924278,OPPO A78 5G (8+128GB),KGAD MOBIWORLD ! GREATER NOIDA
863581060264798,OPPO A57 (4+64GB),Dev Communication (AICHER) ! GREATER NOIDA
861111052780379,OPPO A16K & E (4+64GB),NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA
863581067940978,OPPO A57 (4+64GB),Royal mobile house and electronics ! GREATER NOIDA
863461060959335,OPPO A77s (8+128GB),PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA
866194067924013,OPPO A78 5G (8+128GB),Balaji Traders/Greater Noida ! GREATER NOIDA
864397064464212,OPPO A57 (4+64GB),Balaji Traders/Greater Noida ! GREATER NOIDA
867443061513630,OPPO A77 (4+128GB),Noor Communication ! GREATER NOIDA
867443062882893,OPPO A77 (4+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
864397065405214,OPPO A57 (4+64GB),Jai Ambey Communication ! GREATER NOIDA
867426064401937,OPPO Reno8 T 5G (8+128GB),KRISHNA TELECOM (GN) ! GREATER NOIDA
864397064266575,OPPO A57 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
862498069783176,OPPO A17 (4+64GB),Noor Communication ! GREATER NOIDA
864397065442431,OPPO A57 (4+64GB),Noor Communication ! GREATER NOIDA
862611061957412,OPPO A17 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
863581066586996,OPPO A57 (4+64GB),Noor Communication ! GREATER NOIDA
860150062907359,OPPO A17K (3+64GB),Anupam telecom ! GREATER NOIDA
862611061227634,OPPO A17 (4+64GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
866194067924179,OPPO A78 5G (8+128GB),SANCHAR BHAWAN (GREATER NOIDA) ! GREATER NOIDA
864397063957174,OPPO A57 (4+64GB),KASHISH COMMUNICATION ! GREATER NOIDA
867426064402158,OPPO Reno8 T 5G (8+128GB),Noble Mobile Shope ! GREATER NOIDA
861950056818358,OPPO F21 Pro (8+128GB),AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) ! GREATER NOIDA
864904060213517,OPPO F21s Pro 5G (8+128GB),S N COMMUNICATION (HALDONI) ! GREATER NOIDA
866194067395511,OPPO A78 5G (8+128GB),Shyam Lal & Sons ! GREATER NOIDA
866194067340574,OPPO A78 5G (8+128GB),Shyam Lal & Sons ! GREATER NOIDA
866194067924138,OPPO A78 5G (8+128GB),S.M TRADER (KASNA) ! GREATER NOIDA
866102050096178,OPPO A55 (4+128GB),SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
860489069361818,OPPO F21s Pro (8+128GB),Mobile World (noida) ! GREATER NOIDA
864397064443018,OPPO A57 (4+64GB),NEW UNIVERSAL OFFICE SYSTEM ! GREATER NOIDA
864397065398997,OPPO A57 (4+64GB),Noor Communication ! GREATER NOIDA
866768068799753,OPPO A77 (4+128GB),VISHAL MOBILE HOUSE ! GREATER NOIDA
867443062879659,OPPO A77 (4+128GB),SHREE RAM MOBILE GALLERY ! GREATER NOIDA
862498068808016,OPPO A17 (4+64GB),SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
862498068841090,OPPO A17 (4+64GB),SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
862498067327935,OPPO A17 (4+64GB),SHRIB SAHIB JI MOBILE SOLUTION-2 ! GREATER NOIDA
862611060442853,OPPO A17 (4+64GB),Jai Ambey Communication ! GREATER NOIDA
864463068372015,OPPO A77s (8+128GB),PRIYANKA MOBILE WORLD (HALDONI) ! GREATER NOIDA
866194067340319,OPPO A78 5G (8+128GB),Noor Communication ! GREATER NOIDA
862047067621936,OPPO A17 (4+64GB),Noor Communication ! GREATER NOIDA
866194067229611,OPPO A78 5G (8+128GB),Royal mobile house and electronics ! GREATER NOIDA
866102052025217,OPPO A55 (4+128GB),Noor Communication ! GREATER NOIDA
