DEALER,CHQ AMOUNT
AARADHYA BHAWAN (AICHER) (OPPO),
AARAV MOBILE GALLERY (GREATER NOIDA) (OPPO),
AARAV MOBILE PLAZA (SURAJPUR) (OPPO),
ACP COMMUNICATION (OPPO),
AMAN MOBILE STORE (TUGALPUR) (OPPO),
AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI) (OPPO),
ANISH COMMUNICATION(KASNA) (OPPO),
ANKIT TRADERS (TUGALPUR) (OPPO),
ANMOL MOBILE (SURAJPUR) (OPPO),
ANUPAM TELECOM (OPPO),100000
ANUSHKA MOBILE CENTRE (OPPO),
APNA TELECOM (MALAKPUR) (OPPO),
A R COMMUNICATION (JAGAT FARM) (OPPO),
ARISH MOBILE CENTRE (OPPO),
ARYAN COMMUNICATION(DADRI)(OPPO),
ARYAN ENTERPRISES (DADRI) (OPPO),
A TO Z MOBILE SOLUTION (DADRI) (OPPO),
ATUL TELECOM CENTRE (KASNA) (OPPO),
AVNI MOBILE SHOP (AICHAR) (OPPO),
AYUSH COMMUNICATION (OPPO),
BABA MOHANTRAM MOBILE POINT (OPPO),
BALAJI COMMUNICATION(GREATER NOIDA)(OPPO),
BALAJI COMMUNICATION(NAGLA)(OPPO),
BALAJI MOBILE ZONE (DADRI) (OPPO),
BALAJI TRADERS (GREATER NOIDA) (OPPO),
BANSIWALA STORES (GAMMA-2) (OPPO),
BEST GADGETS CENTER (KASNA) (OPPO),
BHOOMI MOBILE SOLUTION (DADRI) (OPPO),
BRIJ MOBILE AND COMPUTER MART (OPPO),
BRS ELECTRONICS (KASNA) (OPPO),50000
CHIRAG COMMUNICATION (AICHER)(OPPO),
CITY MOBILE WORLD(HALDUANI)(OPPO),
COMPUTER WIZARD (OPPO),
DEEPA MOBILE WORLD (KULESRA) (OPPO),
DEV COMMUNICATION (AICHER) (OPPO),
DEV ENTERPRISES (OPPO),
DEV MOBILE STORE (BETA-1) (OPPO),
DIVINE COMMUNICATION (ALPHA) (OPPO),
EKTA ELECTRONICS(TUGALPUR)(OPPO),
FAMOUS MOBILE POINT (HALDONI) (OPPO),
FAUJI TELECOM (DADRI) (OPPO),
GADGET STORE(OPPO),
GOEL COMMUNICATION (OPPO),
GOEL MOBILE & SAMARTH ELECTRONICS (OPPO),
ISHU COMMUNICATION (SURAJPUR) (OPPO),
I STOR (OPPO),
JAGDAMBA MOBILE HUB (JAGAT FARM) (OPPO),
JAI AMBEY COMMUNICATION ENTERPRISES (DADRI) (OPPO),
JAI AMBEY COMMUNICATION (OPPO),100000
JAI DURGA ENTERPRISES (SURAJPUR) (OPPO),
JCM SMART PHONES SHOP (HABIBPUR) (OPPO),
JRB TELECOM (KASNA) (OPPO),
KAMAL COMMUNICATION (KASNA) (OPPO),
KANIKA COMMUNICATION (HABIBPUR) (OPPO),200000
KARTIK COMMUNICATION (HABIBPUR) (OPPO),
KASHISH COMMUNICATION (KULESHRA) (OPPO),
KESHAV MOBILE POINT (NEW) (OPPO),
KESHAV MOBILE POINT REPAIRING CENTR (SEC-32) (OPPO),
KGAD MOBIWORLD (GEJHA) (OPPO),
K G N COMMUNICATION (NAYA GAON) (OPPO),
KINGTRONICS INDIA PVT LTD (SURAJPUR) (OPPO),
KRISHNA TELECOM (GN) (OPPO),40000
KS MOBILE (DERIN KHERA) (OPPO),
LAXMI ELECTRONICS (KASNA) (OPPO),
LAXMI TELECOM (TUGALPUR) (OPPO),
L.K MOBILE POINT (KASNA) (OPPO),
LOVE MOBILE CENTER (OPPO),
LUCKY PHONES(SURAJPUR) (OPPO),
MAHALAXMI COMMUNICATION (SEC-68) (OPPO),
MAHALAXMI MOBILE POINT (DADRI) (OPPO),
MAHALAXMI MOBILE STORE (DADRI) (OPPO),
MATRIX NETWORK (SURAJPUR) (OPPO),
MOBILE HOTSPOT (AICHAR) (OPPO),
MOBILE SHINGAR (DADRI) (OPPO),
MOBILE SOLUTION (OPPO),
MOBILE WORLD (ANSAL PLAZA) (OPPO),
MOBILE WORLD (DADRI) (OPPO),
M.R COMMUNICATION (KASNA) (OPPO),
MRK TRADERS (KASNA) (OPPO),
MR MOBILE STORE (JAGAT FARM) (OPPO),
MUSKAN TELECOM (KULESRA) (OPPO),
NEELKANTH COMMUNICATION (NAGLA) (OPPO),
NEW CHANDANI COMMUNICATION(GEJHA)(OPPO),
NEW LAVISH COMM & MOBILE WORLD (HABIBPUR) (OPPO),
NEW RADHEY ELECTRONICS & MOBILE CNTR (DEVLA) (OPPO),
NEW RAJDEEP MOBILE POINT (SURAJPUR) (OPPO),
NEW SONEX ELECTRONICS (SURAJPUR) (OPPO),
NEW UNIVERSAL OFFICE SYSTEM (OPPO),
NOBEL MOBILE SHOPEE (OPPO),200000
NOOR COMMUNICATION (OPPO),
OM COMMUNICATIONS (KULESARA) (OPPO),
OM MOBILE STORE(DADRI)(OPPO),
OM SAI COMMUNICATION (GREATER NOIDA) (OPPO),
OM SAI RAM COMMUNICATION(HABIBPUR)(NEW),
PANDEY COMMUNICATION (OPPO),
PARTHAM COMMUNICATION (KULESRA) (OPPO),
PAWAN MOBILE CENTER (OPPO),
POOJA COMMUNICATION (RAMPUR) (NEW) (OPPO),
POOJA TELECOM (RAMPUR) (OPPO),
PRAVEEN MOBILE CENTER-2 (SURAJPUR) (OPPO),
PRAVEEN MOBILE CENTRE (SURAJPUR) (OPPO),
PRINCE ENTERPRISES (GHORI) (OPPO),
PRIYANKA MOBILE WORLD (HALDONI) (OPPO),50000
RAHUL TELECOM (AICHER) (OPPO),
RAJA MOBILE & REPAIR CENTRE (KASNA) (OPPO),
RAJDEEP MOBILE POINT (OPPO),
RAM ELECTRONICS AND MOBILE SHOP,
RANA ENTERPRISES (DADRI) (OPPO),
RANI COMMUNICATION (GN) (OPPO),
RINKU MOBILE POINT (DADRI) (OPPO),
R K NETWORK ENTERPRISES (DEVLA) (OPPO),
R K TELECOM (TUGALPUR) (NEW) (OPPO),
R.K TELECOM(TUGALPUR)(OPPO),
ROYAL MOBILE HOUSE & ELECTRONICS (SURAJPUR) (OPPO),
SACHIN ELECTRICAL (AJAIBPUR) (OPPO),
SACHIN TELECOM & MOBILE SHOP (DEVLA) (OPPO),
SAIFI COMMUNICATION & MOBILE REPARING CENTRE (OPPO),
SANCHAR BHAWAN (GREATER NOIDA) (OPPO),
SANDEEP MOBILE CENTRE (SURAJPUR) (OPPO),
SANJAY COMMUNICATION (SEC-93) (OPPO),
SATNAM MOBILE STORE (HALDAUNI) (OPPO),
SHAHID COMMUNICATION (SURAJPUR) (OPPO),
SHIDHI MOBILE CARE(WAZIDPUR)(OPPO),
SHIVA MOBILE POINT(KULESRA)(OPPO),
SHIV MOBILES (DEVLA) (OPPO),
SHIV SHAKTI ELECTRONICS (KASNA) (OPPO),
SHIV TELECOM & ELECTRONICS (AICHER) (OPPO),
SHIV TRADERS (SURAJPUR) (OPPO),
SHREE BABA COMMUNICATION (KASNA) (NEW) (OPPO),
SHREE BALAJI COMMUNICATION (SURAJPUR) (OPPO),
SHREE BALAJI MOBILE CENTRE (KASNA) (OPPO),
SHREE RAM MOBILE GALLERY (DADRI) (OPPO),
SHRI BALAJI COMMUNICATION (KASNA) (OPPO),
SHRI BALAJI ELECTRONICS (ALPHA-2)(OPPO),
SHRI SAHIB JI MOBILE SOLUTION-2 (DADRI) (OPPO),
SHRI SAHIB JI MOBILE SOLUTION (DADRI) (OPPO),
SHUBH MOBILE ZONE (DADRI) (OPPO),
SHYAM LAL & SONS (OPPO),
S.M TRADERS (KASNA) (OPPO),
S N COMMUNICATION (HALDONI) (OPPO),400000
S N COMMUNICATION (OPPO),
SONU COMMUNICATION (DADRI) (OPPO),
SONY ELECTRONICS (SURAJPUR)(OPPO),
STAR MOBILE SHOP (DADRI) (OPPO),
STAR TELCOM CENTER (GEJHA) (OPPO),
SUHANA COMM (DADRI)(OPPO),
SUSSHMA MOBILE POINT (TUGALPUR) (OPPO),
TANISH TELECOM (SURAJPUR) (OPPO),
THE MOBILE CAFE (AICHHER) (OPPO),
THE MOBILE HUB (GREATER NOIDA) (OPPO),
THE MOBILE LIFE (ANSAL PLAZA) (OPPO),
T.K. TELEOM (KASNA) (OPPO),
TOMAR ELECTRONICS (SEC-141) (OPPO),
UNIQUE TELECOM(OPPO),
UNIVERSHAL MOBILE CAFE (ANSAL PLAZA) (OPPO),
VAISHNAVI TELECOM (ANSAL PLAZA) (OPPO),
