Distributor,SALE
Jai Ambey Communication,103
KGAD MOBIWORLD,100
Noor Communication,235
S N COMMUNICATION (HALDONI),107
S.M TRADER (KASNA),122
KANIKA COMMUNICATION (HABIBPUR),88
SANCHAR BHAWAN (GREATER NOIDA),75
AMBE SOFTWARE & HARDWARE REP CENTRE (DADRI),57
I Store,51
Noble Mobile Shope,57
Royal mobile house and electronics,56
SHREE BALAJI MOBILE CENTER (KASNA),60
SHRIB SAHIB JI MOBILE SOLUTION-2,58
Shyam Lal & Sons,59
BALAJI MOBILE & ELECTRONICS (DADRI),40
BRS ELECTRONICS (KASNA),47
Computer Wizard,41
KRISHNA TELECOM (GN),40
SHIV SHAKTI ELECTRONICS,42
SHREE BALAJI COMMUNICATION (SURAJPUR),40
TOMAR ELECTRONICS,40
V.K Mobile Point (HALDONI),40
Anupam telecom,32
Anuska mobile center 2,33
Balaji Traders/Greater Noida,35
KASHISH COMMUNICATION,37
Mobile World (noida),32
NEW RADHEY ELECTRONICS & MOBILE CENTER,36
NEW UNIVERSAL OFFICE SYSTEM,26
POOJA COMMUNICATION (G.NOIDA),26
PRIYANKA MOBILE WORLD (HALDONI),28
Sanjay Communication(Sec-93),20
Tanish Telecom(Surajpur),26
JAGDAMBA MOBILE HUB (JAGAT FARM),19
OM COMMUNICATION,18
Dev Communication (AICHER),1
GOEL MOBILE & SAMARTH ELECTRONICS,7
K G N COMMUNICATION,9
PANDEY COMMUNICATION,9
A TO Z MOBILE,4
BANSIWALA STORES (GAMMA-2),4
ISHU COMMUNICATION,5
JAI AMBEY COMMUNICATION ENTERPRISES,4
Prince Enterpirese,5
SHREE RAM MOBILE GALLERY,4
SONY ELECTRONICS (SURAJPUR),5
STAR TELECOM CENTER(GEJHA),5
VISHAL MOBILE HOUSE,4
AMAN MOBILE STORE,2
ARISH MOBILE CENTER,1
ATUL TELECOM CENTRE (KASNA),1
AVNI MOBILE SHOP (AICHER),2
Ayush Communication,0
BHOOMI MOBILE SOLUTION,3
DEV ENTERPRISES.,1
Famous Mobile Point,3
Fauji Telecom(DADRI),1
JRB TELECOM,1
Keshav Mobile Point(Sec-32),1
L K MOBILE POINT,2
M.R. COMMUNICATION (KASNA),3
M/S DIVINE COMMUNICATION,1
MAHALAXMI MOBILE POINT,1
MAHALAXMI MOBILE STORE,1
MATRIX NETWORK MOBILE STORE,1
MOBILE HOTSPOT,3
MOBILE SHINGAR (DADRI),1
Mobile Solution,0
NEW LAVISH COMM & MOBILE WORLD (HABIBPUR),0
NEW RAJDEEP MOBILE POINT (SURAJPUR),1
Om Sai Communication( Greater Noida),0
PRAVEEN MOBILE CENTER -2,2
PRAVEEN MOBILE CENTRE (SURJPUR),1
R K TELECOM (TUGALPUR),0
RAHUL TELECOM (AICHER),3
Rajdeep Mobile Point,1
RANA ENTERPRISES,1
SACHIN TELECOM AND MOBILE SHOP,0
SATNAM MOBILE STORE,3
SHIV TRADERS (SURAJPUR),0
SHREE BABA COMMUNICATION (KASNA),1
SHRI SAHIB JI MOBILE SOLUTION (DADRI),0
SUSSHMA MOBILE POINT (TUGALPUR),0
The Mobile Life,0
UNIVERSAL MOBILE CAFE,0
VAISHNAV TELECOM ( ANSAL PLAZA),2
Vikky Communication,1
YASH SANCHAR WORLD,1
