Model,DP
OPPO A11K (2+32GB),8815
OPPO A12(3+32GB),9794
OPPO A12(4+64GB),10775
OPPO A15 (3+32GB),10775
OPPO A1K(2+32GB),7835
OPPO A314(4+64GB),12125
OPPO A33 (3+32GB),10775
OPPO A52 (6+128GB),13450
OPPO A53 (4+64GB),10467
OPPO A53 (6+128GB),12371
OPPO F158(8+128GB),18435
OPPO F17 (6+128GB),16495
OPPO F17 (8+128GB),17950
OPPO F17 Pro (8+128GB),19410
OPPO F17 Pro (8+128GB) (Diwali Edition),20865
OPPO FindX 2 (12+256GB),61895
OPPO R3PRO8128(8+128GB),24260
OPPO Reno2z(8+256GB),26435
OPPO RENO3 PRO (8+256GB),27175
OPPO RENO4 PRO (8+128GB),33645
OPPO Reno5 Pro 5G (8+128GB),34605
OPPO RENOPRO8(8+256GB),48065
OPPO A15 (2+32GB),9305
OPPO A15s (4+128GB),11755
OPPO A15s (4+64GB),9794
OPPO F19 Pro (8+128GB),17637
OPPO F19 Pro+ 5G (8+128GB),19598
OPPO F19 Pro (8+256GB),18618
OPPO F19 (6+128GB),15186
OPPO A54 (4+64GB),10775
OPPO A54 (6+128GB),11755
OPPO A54 (4+128GB),12735
OPPO A74 5G(6+128GB),16655
OPPO A53s 5G(8+128GB),15375
OPPO A53s 5G(6+128GB),14142
OPPO Reno6 Pro 5G (12+256GB),37028
OPPO Reno6 5G (8+128GB),27769
OPPO A15 (3+32GB) JIO,10775
OPPO A16 (4+64GB),12735
OPPO F19s (6+128GB),19600
OPPO Reno6 Pro 5G (12+256GB) Diwali Edition,38880
OPPO A55 (4+64GB),13235
OPPO A55 (6+128GB),14705
OPPO A16K (3+32GB),9795
OPPO Reno7 Pro 5G (12+256GB),33018
OPPO A16K (4+64GB),11755
OPPO Reno7 5G (8+256GB),27358
OPPO A16K & E (3+32GB),8825
OPPO A16K & E (4+64GB),9805
OPPO A76 (6+128GB),16165
OPPO A96 (8+128GB),17645
OPPO K10 (6+128GB),14696
OPPO F21 Pro (8+128GB),20190
OPPO F21 Pro 5G (8+128GB),25240
OPPO K10 (8+128GB),16657
OPPO F116(6+128GB),
OPPO K10 5G(8+128GB),15685
OPPO A57 (4+64GB),13725
OPPO Reno8 Pro 5G (12+256GB),42990
OPPO Reno8 5G (8+128GB),28301
OPPO A77 (4+64GB),15195
OPPO K10 5G(6+128GB),16175
OPPO A77 (4+128GB),15685
OPPO F21s Pro 5G (8+128GB),25240
OPPO F21s Pro (8+128GB),21570
OPPO A77s (8+128GB),17645
OPPO A17 (4+64GB),12255
OPPO A17K (3+64GB),9315
OPPO A78 5G (8+128GB),18270
OPPO A55 (4+128GB),13460
OPPO Reno8 T 5G (8+128GB),29125
