DATE,MODEL,IMEI NO,Located Warehouse/Store,
18.10.2022,OPPO A17K (3+64GB),860109062185218,Rajdeep Mobile Point ! GREATER NOIDA,
18.10.2022,OPPO A17K (3+64GB),860109062300932,Rajdeep Mobile Point ! GREATER NOIDA,
20.12.2022,OPPO A57 (4+64GB),864397063114297,SUSSHMA MOBILE POINT (TUGALPUR) ! GREATER NOIDA,
30.01.2023,OPPO A17 (4+64GB),862498067860976,Mobile Solution ! GREATER NOIDA,
30.01.2023,OPPO A17 (4+64GB),862498067862295,SHRI SAHIB JI MOBILE SOLUTION (DADRI) ! GREATER NOIDA,
30.01.2023,OPPO A17 (4+64GB),862498067860992,NEW LAVISH COMM & MOBILE WORLD (HABIBPUR) ! GREATER NOIDA,
28.02.2023,OPPO Reno8 T 5G (8+128GB),867426064654139,Mobile World (noida) ! GREATER NOIDA,
stock return,OPPO A17 (4+64GB),860578061438374,SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA,
stock return,OPPO A17 (4+64GB),860578062933357,SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA,
stock return,OPPO A17 (4+64GB),860578062934074,SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA,
stock return,OPPO A96 (8+128GB),861148068362917,SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA,
stock return,OPPO Reno7 5G (8+256GB),862661054788431,SACHIN TELECOM AND MOBILE SHOP ! GREATER NOIDA,
stock return,OPPO A77s (8+128GB),864463067835731,JAGDAMBA MOBILE HUB (JAGAT FARM) ! GREATER NOIDA,
stock return,OPPO A57 (4+64GB),863581069934730,SATNAM MOBILE STORE ! GREATER NOIDA,
stock return,OPPO A57 (4+64GB),863581068169130,SATNAM MOBILE STORE ! GREATER NOIDA,
stock return,OPPO A17 (4+64GB),862498061962257,SATNAM MOBILE STORE ! GREATER NOIDA,
stock return,OPPO A17 (4+64GB),862498065616032,SATNAM MOBILE STORE ! GREATER NOIDA,
